id,state_code,div_no,month,tmax_f,tmin_f,pcpn_in,climdiv_id
1147,2,5,3,77.90,49.60,0.52,205
1148,2,5,4,85.00,54.80,0.14,205
1149,2,5,5,93.30,62.40,0.06,205
1150,2,5,6,102.80,70.90,0.02,205
1151,2,5,7,106.20,78.70,0.52,205
1152,2,5,8,105.50,78.80,0.67,205
1153,2,5,9,100.20,72.30,0.52,205
1154,2,5,10,88.80,59.80,0.30,205
1155,2,5,11,76.20,48.40,0.31,205
1156,2,5,12,66.00,40.90,0.58,205
1157,2,6,1,65.70,40.00,1.12,206
1158,2,6,2,68.90,42.40,1.22,206
1159,2,6,3,75.60,47.20,0.96,206
1160,2,6,4,83.00,52.50,0.26,206
1161,2,6,5,92.10,60.50,0.17,206
1162,2,6,6,101.60,69.60,0.08,206
1163,2,6,7,103.60,76.70,1.12,206
1164,2,6,8,102.10,76.00,1.47,206
1165,2,6,9,97.30,70.10,0.88,206
1166,2,6,10,86.70,58.00,0.56,206
1167,2,6,11,74.50,46.70,0.67,206
1168,2,6,12,64.50,39.30,1.05,206
1169,2,7,1,61.10,33.70,1.13,207
1170,2,7,2,64.10,36.10,1.07,207
1171,2,7,3,70.40,40.40,0.82,207
1172,2,7,4,77.50,45.60,0.30,207
1173,2,7,5,86.10,53.00,0.23,207
1174,2,7,6,95.50,62.70,0.34,207
1175,2,7,7,94.90,68.00,2.61,207
1176,2,7,8,93.10,66.90,2.83,207
1177,2,7,9,89.50,61.60,1.53,207
1178,2,7,10,80.70,50.50,0.76,207
1179,2,7,11,69.60,40.20,0.78,207
1180,2,7,12,60.20,33.40,1.19,207
1181,3,1,1,46.30,26.20,2.91,301
1182,3,1,2,51.00,29.60,2.71,301
1183,3,1,3,59.70,37.00,4.36,301
1184,3,1,4,68.90,45.60,4.99,301
1185,3,1,5,76.00,54.70,5.66,301
1186,3,1,6,83.70,63.20,4.32,301
1187,3,1,7,88.40,67.00,3.98,301
1188,3,1,8,87.90,65.60,3.65,301
1189,3,1,9,80.80,58.00,4.26,301
1190,3,1,10,70.20,47.00,4.24,301
1191,3,1,11,58.10,36.90,4.24,301
1192,3,1,12,48.50,29.10,3.33,301
1193,3,2,1,46.90,26.80,3.31,302
1194,3,2,2,51.90,30.30,3.38,302
1195,3,2,3,60.70,37.60,4.78,302
1196,3,2,4,70.30,46.70,5.32,302
1197,3,2,5,77.40,55.40,5.47,302
1198,3,2,6,85.40,63.80,3.74,302
1199,3,2,7,89.50,67.60,3.93,302
1200,3,2,8,88.90,65.90,3.69,302
1201,3,2,9,82.00,58.50,3.74,302
1202,3,2,10,71.50,46.80,3.93,302
1203,3,2,11,59.10,37.40,4.69,302
1204,3,2,12,49.30,29.60,4.06,302
1205,3,3,1,46.90,29.40,3.63,303
1206,3,3,2,51.90,33.00,3.91,303
1207,3,3,3,61.10,40.30,4.88,303
1208,3,3,4,71.30,49.30,5.38,303
1209,3,3,5,79.50,58.80,5.41,303
1210,3,3,6,87.70,67.30,3.58,303
1211,3,3,7,90.50,70.60,3.91,303
1212,3,3,8,89.50,68.60,3.59,303
1213,3,3,9,83.50,61.00,3.44,303
1214,3,3,10,73.00,49.30,3.91,303
1215,3,3,11,59.70,39.60,4.61,303
1216,3,3,12,49.60,32.30,4.72,303
1217,3,4,1,49.60,29.10,3.54,304
1218,3,4,2,54.50,32.50,3.40,304
1219,3,4,3,62.90,39.60,4.79,304
1220,3,4,4,71.80,48.00,5.24,304
1221,3,4,5,79.00,57.10,5.96,304
1222,3,4,6,86.60,65.40,4.35,304
1223,3,4,7,91.20,69.00,4.09,304
1224,3,4,8,90.80,68.00,3.93,304
1225,3,4,9,83.90,60.80,4.24,304
1226,3,4,10,73.30,49.20,4.49,304
1227,3,4,11,61.00,38.90,4.82,304
1228,3,4,12,51.70,31.60,4.33,304
1229,3,5,1,51.10,30.80,3.77,305
1230,3,5,2,56.00,34.20,4.14,305
1231,3,5,3,64.50,41.20,5.19,305
1232,3,5,4,73.40,49.50,5.56,305
1233,3,5,5,80.50,58.60,5.70,305
1234,3,5,6,88.10,66.90,3.92,305
1235,3,5,7,92.10,70.40,3.99,305
1236,3,5,8,91.60,69.30,3.65,305
1237,3,5,9,85.10,61.90,3.64,305
1238,3,5,10,74.40,50.10,4.46,305
1239,3,5,11,62.20,40.20,4.84,305
1240,3,5,12,53.20,33.20,4.99,305
1241,3,6,1,49.40,32.40,3.95,306
1242,3,6,2,54.30,36.00,4.26,306
1243,3,6,3,63.20,43.10,5.23,306
1244,3,6,4,72.70,51.70,5.60,306
1245,3,6,5,81.00,61.00,5.15,306
1246,3,6,6,88.50,69.10,3.66,306
1247,3,6,7,91.10,72.00,3.61,306
1248,3,6,8,90.50,70.20,3.17,306
1249,3,6,9,85.10,63.10,3.13,306
1250,3,6,10,74.60,51.50,4.14,306
1251,3,6,11,61.70,41.90,4.45,306
1252,3,6,12,52.10,35.10,5.24,306
1253,3,7,1,53.30,32.20,3.97,307
1254,3,7,2,57.70,35.40,4.35,307
1255,3,7,3,66.00,42.30,5.07,307
1256,3,7,4,74.00,49.80,5.38,307
1257,3,7,5,80.90,59.10,5.75,307
1258,3,7,6,88.20,67.00,4.23,307
1259,3,7,7,92.10,70.40,3.96,307
1260,3,7,8,92.30,69.50,3.41,307
1261,3,7,9,86.10,62.60,4.00,307
1262,3,7,10,75.50,50.70,4.72,307
1263,3,7,11,63.80,41.00,4.55,307
1264,3,7,12,55.20,34.20,5.17,307
1265,3,8,1,54.10,32.90,4.52,308
1266,3,8,2,58.50,36.10,4.66,308
1267,3,8,3,66.90,42.80,5.35,308
1268,3,8,4,75.00,50.60,5.68,308
1269,3,8,5,81.90,59.60,5.16,308
1270,3,8,6,89.00,67.50,4.04,308
1271,3,8,7,92.30,70.80,3.93,308
1272,3,8,8,92.30,69.90,3.56,308
1273,3,8,9,86.70,62.90,3.57,308
1274,3,8,10,76.20,50.70,4.62,308
1275,3,8,11,64.50,41.30,4.31,308
1276,3,8,12,56.20,34.70,5.61,308
1277,3,9,1,52.80,34.00,4.76,309
1278,3,9,2,57.40,37.40,4.93,309
1279,3,9,3,65.80,44.10,5.36,309
1280,3,9,4,74.40,52.30,5.79,309
1281,3,9,5,82.20,61.20,4.86,309
1282,3,9,6,89.00,68.90,3.82,309
1283,3,9,7,91.80,71.80,3.72,309
1284,3,9,8,91.60,70.40,3.54,309
1285,3,9,9,86.60,63.80,3.28,309
1286,3,9,10,76.30,52.00,4.43,309
1287,3,9,11,64.10,42.50,4.35,309
1288,3,9,12,55.20,36.20,5.62,309
1289,4,1,1,48.90,33.80,8.54,401
1290,4,1,2,51.60,34.00,7.34,401
1291,4,1,3,55.60,35.40,6.63,401
1292,4,1,4,60.10,37.50,3.81,401
1293,4,1,5,67.80,42.70,2.12,401
1294,4,1,6,75.50,47.60,0.80,401
1295,4,1,7,83.40,53.50,0.19,401
1296,4,1,8,83.20,52.90,0.20,401
1297,4,1,9,78.80,49.40,0.52,401
1298,4,1,10,67.70,43.00,2.64,401
1299,4,1,11,54.60,37.00,5.52,401
1300,4,1,12,47.60,33.00,9.62,401
1301,4,2,1,49.90,32.00,6.33,402
1302,4,2,2,52.80,33.20,5.92,402
1303,4,2,3,57.40,35.60,5.19,402
1304,4,2,4,63.00,38.60,2.90,402
1305,4,2,5,71.90,45.20,1.97,402
1306,4,2,6,81.00,51.40,0.74,402
1307,4,2,7,89.10,56.90,0.11,402
1308,4,2,8,88.10,55.40,0.15,402
1309,4,2,9,82.80,51.10,0.38,402
1310,4,2,10,71.00,43.50,1.86,402
1311,4,2,11,57.00,36.20,3.72,402
1312,4,2,12,48.80,31.40,6.61,402
1313,4,3,1,41.40,20.50,3.23,403
1314,4,3,2,43.60,21.60,2.84,403
1315,4,3,3,49.00,25.30,2.63,403
1316,4,3,4,54.40,28.90,1.67,403
1317,4,3,5,63.30,36.00,1.46,403
1318,4,3,6,73.20,42.40,0.73,403
1319,4,3,7,82.50,49.10,0.38,403
1320,4,3,8,81.40,47.60,0.31,403
1321,4,3,9,74.20,41.60,0.40,403
1322,4,3,10,62.00,32.90,1.20,403
1323,4,3,11,49.00,25.40,1.91,403
1324,4,3,12,40.40,19.90,3.33,403
1325,4,4,1,59.60,38.80,4.58,404
1326,4,4,2,60.90,39.90,4.33,404
1327,4,4,3,64.30,41.60,3.45,404
1328,4,4,4,68.10,43.10,1.44,404
1329,4,4,5,73.90,47.40,0.60,404
1330,4,4,6,80.50,51.40,0.10,404
1331,4,4,7,84.80,55.50,0.02,404
1332,4,4,8,85.30,55.50,0.02,404
1333,4,4,9,82.90,53.40,0.08,404
1334,4,4,10,76.10,48.30,0.92,404
1335,4,4,11,65.90,42.00,1.97,404
1336,4,4,12,58.90,38.00,3.99,404
1337,4,5,1,53.20,34.20,3.86,405
1338,4,5,2,56.60,35.80,3.57,405
1339,4,5,3,61.50,38.50,3.20,405
1340,4,5,4,66.80,41.50,1.69,405
1341,4,5,5,75.00,47.90,0.94,405
1342,4,5,6,84.00,54.50,0.23,405
1343,4,5,7,90.50,60.30,0.10,405
1344,4,5,8,89.70,59.30,0.07,405
1345,4,5,9,84.50,54.90,0.17,405
1346,4,5,10,73.90,46.90,1.00,405
1347,4,5,11,61.40,38.80,1.77,405
1348,4,5,12,52.90,33.50,3.35,405
1349,4,6,1,62.80,40.80,3.81,406
1350,4,6,2,62.70,41.00,4.24,406
1351,4,6,3,65.60,42.90,2.77,406
1352,4,6,4,69.30,45.00,1.08,406
1353,4,6,5,73.90,49.60,0.42,406
1354,4,6,6,80.50,54.30,0.06,406
1355,4,6,7,86.20,59.50,0.08,406
1356,4,6,8,87.60,60.00,0.07,406
1357,4,6,9,84.40,57.40,0.15,406
1358,4,6,10,76.90,51.20,0.66,406
1359,4,6,11,69.00,44.60,1.21,406
1360,4,6,12,62.10,40.00,2.73,406
1361,4,7,1,59.50,37.60,1.12,407
1362,4,7,2,62.70,39.80,1.24,407
1363,4,7,3,69.30,44.30,0.77,407
1364,4,7,4,75.90,49.20,0.29,407
1365,4,7,5,84.80,57.20,0.15,407
1366,4,7,6,94.90,65.70,0.05,407
1367,4,7,7,100.10,72.40,0.31,407
1368,4,7,8,99.10,71.50,0.29,407
1369,4,7,9,92.60,64.90,0.27,407
1370,4,7,10,80.60,54.00,0.33,407
1371,4,7,11,67.70,43.40,0.37,407
1372,4,7,12,58.00,36.60,0.84,407
1373,5,1,1,44.70,16.30,0.49,501
1374,5,1,2,47.30,18.60,0.52,501
1375,5,1,3,56.10,25.90,0.99,501
1376,5,1,4,63.00,32.60,1.52,501
1377,5,1,5,72.50,42.40,1.85,501
1378,5,1,6,83.50,51.90,1.67,501
1379,5,1,7,87.80,57.30,2.63,501
1380,5,1,8,85.00,55.60,2.46,501
1381,5,1,9,78.30,47.60,1.14,501
1382,5,1,10,66.20,35.10,1.09,501
1383,5,1,11,53.60,24.50,0.62,501
1384,5,1,12,44.40,16.80,0.53,501
1385,5,2,1,34.30,12.30,1.85,502
1386,5,2,2,37.90,15.10,1.80,502
1387,5,2,3,46.60,21.90,1.82,502
1388,5,2,4,53.30,28.10,2.00,502
1389,5,2,5,63.20,36.40,1.74,502
1390,5,2,6,74.50,44.60,0.88,502
1391,5,2,7,80.20,51.00,1.51,502
1392,5,2,8,77.50,49.40,1.71,502
1393,5,2,9,69.80,42.00,1.84,502
1394,5,2,10,57.30,31.50,1.82,502
1395,5,2,11,44.00,21.10,1.65,502
1396,5,2,12,34.10,12.80,1.76,502
1397,5,3,1,43.10,16.60,0.33,503
1398,5,3,2,45.50,18.80,0.42,503
1399,5,3,3,55.80,26.90,0.81,503
1400,5,3,4,63.20,33.70,1.66,503
1401,5,3,5,72.70,44.50,2.63,503
1402,5,3,6,84.40,54.20,2.56,503
1403,5,3,7,90.00,60.40,2.99,503
1404,5,3,8,87.40,58.20,2.57,503
1405,5,3,9,79.80,49.30,1.22,503
1406,5,3,10,66.10,35.90,1.15,503
1407,5,3,11,53.00,25.20,0.50,503
1408,5,3,12,43.30,17.20,0.38,503
1409,5,4,1,39.60,14.00,0.74,504
1410,5,4,2,41.60,15.60,0.80,504
1411,5,4,3,50.50,22.80,1.28,504
1412,5,4,4,57.00,29.00,2.06,504
1413,5,4,5,66.30,38.40,2.46,504
1414,5,4,6,78.00,47.20,1.92,504
1415,5,4,7,84.00,53.40,2.24,504
1416,5,4,8,81.60,51.30,1.98,504
1417,5,4,9,74.00,43.40,1.41,504
1418,5,4,10,60.80,31.70,1.24,504
1419,5,4,11,48.20,21.80,0.88,504
1420,5,4,12,39.40,14.10,0.73,504
1421,5,5,1,33.40,7.20,1.14,505
1422,5,5,2,37.20,11.00,1.20,505
1423,5,5,3,46.00,18.40,1.44,505
1424,5,5,4,52.70,24.60,1.49,505
1425,5,5,5,61.70,32.80,1.29,505
1426,5,5,6,72.00,40.70,0.78,505
1427,5,5,7,75.60,46.00,1.96,505
1428,5,5,8,73.20,44.70,2.22,505
1429,5,5,9,67.20,38.00,1.57,505
1430,5,5,10,56.60,27.90,1.40,505
1431,5,5,11,43.90,17.10,1.18,505
1432,5,5,12,33.70,8.10,1.21,505
1433,6,1,1,33.50,15.50,3.57,601
1434,6,1,2,36.60,17.00,3.05,601
1435,6,1,3,44.80,24.30,4.03,601
1436,6,1,4,57.70,34.40,3.96,601
1437,6,1,5,68.70,45.00,3.97,601
1438,6,1,6,76.60,53.90,4.67,601
1439,6,1,7,81.70,59.40,4.52,601
1440,6,1,8,79.60,57.60,4.48,601
1441,6,1,9,72.40,50.70,4.74,601
1442,6,1,10,60.70,39.50,4.98,601
1443,6,1,11,48.90,30.20,3.86,601
1444,6,1,12,38.30,21.60,4.39,601
1445,6,2,1,36.10,18.40,3.60,602
1446,6,2,2,38.90,20.00,3.08,602
1447,6,2,3,46.80,27.20,4.20,602
1448,6,2,4,59.10,36.50,4.20,602
1449,6,2,5,69.80,46.60,3.70,602
1450,6,2,6,78.00,56.00,4.35,602
1451,6,2,7,83.20,61.80,3.98,602
1452,6,2,8,81.30,60.10,4.17,602
1453,6,2,9,74.20,52.70,4.34,602
1454,6,2,10,62.70,41.40,4.79,602
1455,6,2,11,51.20,32.60,3.91,602
1456,6,2,12,41.10,24.40,4.40,602
1457,6,3,1,38.30,21.60,3.52,603
1458,6,3,2,40.40,22.80,3.05,603
1459,6,3,3,47.70,29.50,4.21,603
1460,6,3,4,59.20,38.60,4.24,603
1461,6,3,5,69.20,48.30,3.74,603
1462,6,3,6,77.90,58.00,4.20,603
1463,6,3,7,83.40,64.30,3.71,603
1464,6,3,8,81.70,62.80,3.86,603
1465,6,3,9,74.80,55.70,4.30,603
1466,6,3,10,63.90,44.50,4.53,603
1467,6,3,11,52.80,35.10,3.76,603
1468,6,3,12,43.20,27.30,4.28,603
1469,7,1,1,41.50,25.10,3.24,701
1470,7,1,2,44.40,26.40,2.81,701
1471,7,1,3,52.70,33.30,4.23,701
1472,7,1,4,64.40,42.70,3.63,701
1473,7,1,5,73.60,52.50,3.60,701
1474,7,1,6,82.20,62.00,4.43,701
1475,7,1,7,86.90,67.20,4.50,701
1476,7,1,8,85.00,65.40,4.30,701
1477,7,1,9,78.40,58.50,4.37,701
1478,7,1,10,67.00,46.80,3.82,701
1479,7,1,11,55.80,36.70,3.24,701
1480,7,1,12,46.20,29.70,3.97,701
1481,7,2,1,44.60,27.00,3.38,702
1482,7,2,2,47.10,28.20,2.94,702
1483,7,2,3,54.60,34.60,4.09,702
1484,7,2,4,65.50,43.60,3.43,702
1485,7,2,5,74.20,53.10,3.57,702
1486,7,2,6,82.80,62.60,3.98,702
1487,7,2,7,87.40,67.70,4.40,702
1488,7,2,8,85.40,65.80,4.79,702
1489,7,2,9,79.10,59.40,4.17,702
1490,7,2,10,68.90,47.90,3.98,702
1491,7,2,11,57.80,37.90,3.28,702
1492,7,2,12,49.00,31.10,3.82,702
1493,8,1,1,62.90,40.40,4.80,801
1494,8,1,2,66.50,43.60,4.53,801
1495,8,1,3,72.80,49.00,4.85,801
1496,8,1,4,78.80,54.70,4.32,801
1497,8,1,5,85.90,62.70,3.39,801
1498,8,1,6,89.90,69.90,6.10,801
1499,8,1,7,91.40,72.10,6.84,801
1500,8,1,8,90.70,71.90,6.71,801
1501,8,1,9,87.80,68.10,5.64,801
1502,8,1,10,80.50,57.90,3.48,801
1503,8,1,11,71.70,47.40,3.62,801
1504,8,1,12,65.00,42.80,4.52,801
1505,8,2,1,66.20,42.60,3.76,802
1506,8,2,2,69.60,45.70,3.17,802
1507,8,2,3,75.00,50.20,3.84,802
1508,8,2,4,80.80,55.70,3.06,802
1509,8,2,5,87.00,63.10,3.24,802
1510,8,2,6,90.30,69.70,7.21,802
1511,8,2,7,91.60,72.00,6.94,802
1512,8,2,8,90.90,72.20,7.41,802
1513,8,2,9,88.10,69.30,5.88,802
1514,8,2,10,81.90,60.50,3.38,802
1515,8,2,11,74.00,50.70,2.14,802
1516,8,2,12,68.30,45.30,3.02,802
1517,8,3,1,70.00,47.50,2.95,803
1518,8,3,2,73.00,50.30,2.52,803
1519,8,3,3,77.30,54.10,3.22,803
1520,8,3,4,82.50,59.10,2.55,803
1521,8,3,5,87.80,65.40,3.38,803
1522,8,3,6,90.40,71.10,7.78,803
1523,8,3,7,91.50,73.00,7.41,803
1524,8,3,8,91.20,73.30,7.74,803
1525,8,3,9,89.00,71.50,6.38,803
1526,8,3,10,83.90,64.50,3.22,803
1527,8,3,11,77.00,56.00,2.02,803
1528,8,3,12,72.10,50.50,2.46,803
1529,8,4,1,72.60,50.20,2.58,804
1530,8,4,2,75.50,52.90,2.20,804
1531,8,4,3,78.80,56.30,2.87,804
1532,8,4,4,83.60,60.90,2.68,804
1533,8,4,5,88.10,66.40,3.66,804
1534,8,4,6,90.60,71.50,8.38,804
1535,8,4,7,91.50,73.20,7.56,804
1536,8,4,8,91.50,73.50,8.08,804
1537,8,4,9,89.70,72.30,6.99,804
1538,8,4,10,85.20,66.50,3.42,804
1539,8,4,11,79.00,58.70,1.97,804
1540,8,4,12,74.70,53.40,2.27,804
1541,8,5,1,75.90,54.20,2.16,805
1542,8,5,2,78.70,56.40,2.01,805
1543,8,5,3,81.40,58.90,2.34,805
1544,8,5,4,85.40,62.60,2.70,805
1545,8,5,5,89.00,67.20,4.51,805
1546,8,5,6,91.20,72.30,8.93,805
1547,8,5,7,92.10,73.90,7.52,805
1548,8,5,8,92.20,74.30,8.28,805
1549,8,5,9,90.50,73.60,7.65,805
1550,8,5,10,87.00,69.10,4.38,805
1551,8,5,11,81.50,62.20,2.18,805
1552,8,5,12,77.90,57.50,1.93,805
1553,8,6,1,75.70,57.60,2.52,806
1554,8,6,2,77.80,59.60,2.44,806
1555,8,6,3,80.00,62.20,2.77,806
1556,8,6,4,83.40,66.10,3.21,806
1557,8,6,5,86.50,70.40,5.21,806
1558,8,6,6,89.30,74.00,8.65,806
1559,8,6,7,90.50,75.30,6.34,806
1560,8,6,8,90.70,75.50,7.90,806
1561,8,6,9,89.10,74.80,8.26,806
1562,8,6,10,85.90,71.40,6.28,806
1563,8,6,11,81.00,65.40,3.37,806
1564,8,6,12,77.50,60.80,2.50,806
1565,8,7,1,75.90,62.30,1.89,807
1566,8,7,2,77.80,64.20,1.85,807
1567,8,7,3,79.90,66.00,1.87,807
1568,8,7,4,83.20,69.90,2.47,807
1569,8,7,5,86.10,73.70,3.88,807
1570,8,7,6,88.70,77.10,6.47,807
1571,8,7,7,90.00,78.10,4.93,807
1572,8,7,8,90.30,78.10,6.43,807
1573,8,7,9,88.90,77.30,7.90,807
1574,8,7,10,85.70,74.60,5.55,807
1575,8,7,11,81.00,69.50,2.31,807
1576,8,7,12,77.80,65.40,1.94,807
1577,9,1,1,51.10,31.10,4.97,901
1578,9,1,2,55.70,33.90,4.88,901
1579,9,1,3,63.90,40.40,5.26,901
1580,9,1,4,72.80,47.40,4.60,901
1581,9,1,5,79.80,56.30,4.09,901
1582,9,1,6,86.20,64.20,4.22,901
1583,9,1,7,89.10,68.00,4.37,901
1584,9,1,8,88.40,67.10,3.98,901
1585,9,1,9,83.20,60.80,4.00,901
1586,9,1,10,73.10,49.30,3.53,901
1587,9,1,11,62.10,38.70,4.38,901
1588,9,1,12,53.60,33.80,5.25,901
1589,9,2,1,51.10,31.10,5.31,902
1590,9,2,2,55.30,33.60,5.03,902
1591,9,2,3,63.10,39.90,5.30,902
1592,9,2,4,71.60,46.50,4.52,902
1593,9,2,5,78.40,55.30,4.20,902
1594,9,2,6,84.50,63.10,4.90,902
1595,9,2,7,87.40,66.90,4.76,902
1596,9,2,8,86.40,66.00,4.85,902
1597,9,2,9,81.30,60.00,4.14,902
1598,9,2,10,71.90,49.00,3.89,902
1599,9,2,11,61.80,38.80,4.52,902
1600,9,2,12,53.60,33.80,5.34,902
1601,9,3,1,53.10,32.10,4.78,903
1602,9,3,2,57.00,35.00,4.56,903
1603,9,3,3,64.70,40.90,4.98,903
1604,9,3,4,73.20,47.70,3.91,903
1605,9,3,5,79.80,56.50,3.77,903
